,0
"['the', 'phone']",242
"['quality', 'photo']",9
"['life', 'sound']",1
"['product', 'price']",17
"['quality', 'sound']",118
"['money', 'value']",108
"['camera', 'battery']",29
"['one', 'phone']",30
"['phone', 'price']",94
"['life', 'battery']",497
"['camera', 'screen']",6
"['camera', 'performance']",15
"['camera', 'phone']",50
"['quality', 'picture']",236
"['camera', 'display']",10
"['product', 'quality']",22
"['backup', 'battery']",46
"['back', 'battery']",8
"['camera', 'quality']",106
"['battery', 'performance']",20
"['phone', 'use']",17
"['mode', 'camera']",2
"['phone', 'performance']",18
"['battery', 'problem']",7
"['phone', 'premium']",17
"['camera', 'time']",2
"['charge', 'dash']",13
"['quality', 'phone']",39
"['camera', 'feature']",2
"['quality', 'back']",2
"['month', 'phone']",8
"['quality', 'mobile']",6
"['range', 'price']",63
"['camera', 'sound']",7
"['life', 'phone']",6
"['battery', 'phone']",17
"['the', 'battery']",27
"['flagship', 'phone']",22
"['phone', 'beast']",15
"['life', 'quality']",8
"['sound', 'battery']",12
"['day', 'time']",1
"['camera', 'front']",17
"['market', 'phone']",10
"['mobile', 'phone']",15
"['quality', 'speaker']",6
"['life', 'day']",4
"['quality', 'display']",7
"['feature', 'phone']",2
"['product', 'phone']",4
"['picture', 'phone']",4
"['battery', 'issue']",10
"['phone', 'review']",4
"['processor', 'phone']",3
"['camera', 'range']",1
"['phone', 'issue']",11
"['battery', 'game']",1
"['device', 'phone']",2
"['quality', 'build']",18
"['camera', 'product']",1
"['quality', 'performance']",17
"['value', 'phone']",3
"['call', 'phone']",2
"['range', 'phone']",18
"['killer', 'flagship']",21
"['quality', 'battery']",15
"['android', 'phone']",11
"['sound', 'picture']",6
"['camera', 'app']",4
"['day', 'charge']",2
"['camera', 'charge']",2
"['display', 'battery']",4
"['sound', 'phone']",4
"['quality', 'screen']",2
"['quality', 'game']",1
"['phone', 'time']",12
"['video', 'quality']",5
"['camera', 'experience']",1
"['camera', 'issue']",2
"['processor', 'battery']",2
"['face', 'unlock']",13
"['quality', 'price']",12
"['sale', 'phone']",3
"['camera', 'mobile']",2
"['day', 'usage']",13
"['display', 'sound']",1
"['money', 'phone']",6
"['camera', 'update']",1
"['camera', 'processor']",2
"['phone', 'look']",3
"['sound', 'speaker']",8
"['speaker', 'phone']",2
"['picture', 'battery']",2
"['mobile', 'battery']",6
"['update', 'battery']",4
"['display', 'phone']",3
"['performance', 'price']",4
"['money', 'product']",9
"['day', 'battery']",7
"['back', 'phone']",5
"['charger', 'dash']",24
"['battery', 'dash']",4
"['quality', 'experience']",3
"['life', 'price']",1
"['camera', 'price']",3
"['dash', 'phone']",2
"['lot', 'phone']",3
"['phone', 'problem']",6
"['photo', 'phone']",2
"['quality', 'time']",1
"['product', 'battery']",3
"['delivery', 'phone']",2
"['iphone', 'phone']",1
"['face', 'phone']",1
"['sound', 'time']",1
"['camera', 'back']",2
"['money', 'quality']",4
"['battery', 'charger']",1
"['update', 'quality']",1
"['product', 'amazon']",3
"['amazon', 'phone']",2
"['battery', 'price']",1
"['quality', 'issue']",1
"['life', 'display']",1
"['display', 'performance']",1
"['camera', 'flagship']",2
"['hour', 'battery']",1
"['backup', 'phone']",1
"['update', 'phone']",2
"['battery', 'screen']",2
"['charge', 'price']",1
"['charge', 'phone']",1
"['experience', 'phone']",3
"['usage', 'battery']",1
"['device', 'quality']",1
"['usage', 'phone']",1
"['picture', 'performance']",2
"['battery', 'time']",2
"['camera', 'speaker']",1
"['battery', 'charge']",1
"['phone', 'year']",1
"['phone', 'screen']",2
"['oxygen', 'phone']",1
"['day', 'performance']",2
"['sound', 'performance']",1
"['camera', 'game']",1
"['camera', 'video']",2
"['video', 'phone']",1
"['day', 'phone']",1
"['battery', 'user']",1
