,support,itemsets
75,0.3157391470644483,['con']
64,0.21285140562248997,"['sound', 'day', 'quality']"
7,0.15079365079365079,"['battery', 'dash']"
90,0.14027538726333907,"['user', 'camera']"
15,0.11292790208452859,"['battery', 'phone', 'charge']"
87,0.09265633964429146,"['battery', 'problem']"
53,0.08175559380378658,"['android', 'phone']"
146,0.076592082616179,"['phone', 'money', 'value']"
78,0.07324536240198891,"['battery', 'dash', 'charger']"
100,0.06722126601644673,['the']
336,0.06167527251864601,"['day', 'quality']"
83,0.05938037865748709,"['experience', 'camera']"
153,0.059284758079938805,"['processor', 'battery']"
197,0.05555555555555555,['lag']
316,0.05412124689233123,"['picture', 'charge', 'quality']"
159,0.05316504111684835,"['everythe', 'camera']"
73,0.051539491298527446,"['oneplu', 'performance']"
60,0.051157008988334286,"['oneplu', 'time']"
345,0.050105182635303114,"['battery', 'display', 'quality']"
132,0.04714094473130618,['heat']
202,0.045324153757888695,['pic']
102,0.04331612162937464,"['camera', 'price', 'quality']"
70,0.040829986613119144,"['phone', 'display', 'camera']"
62,0.03863071332950851,"['life', 'spee']"
154,0.03566647542551157,['speaker']
161,0.03499713138267355,"['battery', 'price']"
32,0.034710269650028686,"['charge', 'camera']"
312,0.03423216676228724,"['phone', 'charge', 'day']"
277,0.03356282271944923,['processor']
26,0.033084719831707785,"['battery', 'game']"
37,0.0321285140562249,['offer']
273,0.03193727290112832,"['sound', 'picture', 'quality']"
410,0.03165041116848346,"['camera', 'charge', 'quality']"
428,0.031076687703193728,"['life', 'dash']"
18,0.030694205393000575,"['app', 'phone']"
63,0.030024861350162555,"['device', 'phone']"
407,0.029546758462421115,"['phone', 'back']"
337,0.029355517307324535,"['quality', 'back']"
106,0.02916427615222796,"['battery', 'sound', 'charge']"
431,0.027538726333907058,"['phone', 'speaker', 'camera']"
49,0.02744310575635877,"['battery', 'game', 'phone']"
31,0.026965002868617326,['person']
495,0.026391279403327597,"['device', 'quality']"
309,0.026391279403327597,"['display', 'price']"
113,0.026391279403327597,"['camera', 'back']"
322,0.026391279403327597,"['battery', 'update']"
368,0.02610441767068273,"['phone', 'day', 'camera']"
190,0.024574488429910116,"['flagship', 'camera']"
274,0.024287626697265252,"['product', 'quality']"
455,0.024000764964620388,['software']
292,0.023905144387072096,"['picture', 'camera']"
365,0.023427041499330656,"['battery', 'picture', 'day']"
420,0.023427041499330656,"['mobile', 'camera']"
30,0.02314017976668579,"['phone', 'money']"
408,0.02314017976668579,"['battery', 'display']"
279,0.022853318034040927,['photo']
96,0.022757697456492636,"['mobile', 'quality']"
101,0.022662076878944348,['jack']
302,0.021897112258558043,['performance']
411,0.021801491681009755,['love']
480,0.021610250525913175,"['oneplu', 'price']"
488,0.021227768215720023,['dash']
0,0.021227768215720023,"['camera', 'performance', 'quality']"
41,0.020654044750430294,"['phone', 'time', 'camera']"
137,0.020654044750430294,['back']
85,0.020558424172882003,"['product', 'amazon']"
297,0.020462803595333715,['flagship']
5,0.020367183017785426,"['spee', 'camera']"
429,0.02017594186268885,"['phone', 'month', 'camera']"
25,0.02017594186268885,"['phone', 'price']"
492,0.019984700707592274,['feature']
232,0.019793459552495698,"['phone', 'hour']"
371,0.01969783897494741,"['battery', 'phone', 'back']"
34,0.019410977242302542,['value']
205,0.019315356664754254,"['battery', 'phone', 'camera']"
133,0.019315356664754254,"['life', 'screen']"
92,0.01902849493210939,['money']
482,0.0189328743545611,['use']
152,0.018741633199464525,['unlock']
39,0.018646012621916237,"['the', 'phone']"
196,0.01855039204436795,"['battery', 'phone', 'quality']"
258,0.01845477146681966,"['phone', 'experience']"
324,0.01835915088927137,['killer']
109,0.018072289156626505,"['game', 'phone']"
218,0.017498565691336777,"['speaker', 'quality']"
293,0.01740294511378849,"['battery', 'usage', 'camera']"
207,0.01673360107095047,"['user', 'quality']"
98,0.016542359915853892,"['sound', 'speaker', 'quality']"
48,0.016446739338305604,"['flagship', 'phone']"
8,0.016351118760757316,"['battery', 'day', 'quality']"
326,0.016351118760757316,"['life', 'quality']"
418,0.015681774717919296,"['life', 'product']"
104,0.01549053356282272,"['game', 'day']"
112,0.015299292407726142,"['phone', 'picture', 'camera']"
175,0.015108051252629566,"['life', 'month']"
305,0.015012430675081278,['expectation']
478,0.01491681009753299,"['dash', 'phone']"
199,0.01491681009753299,"['display', 'performance']"
481,0.014821189519984701,['one']
180,0.014629948364888123,"['phone', 'problem']"
198,0.014438707209791547,"['life', 'sound', 'picture']"
251,0.014438707209791547,"['performance', 'price']"
422,0.01434308663224326,"['battery', 'time']"
268,0.01434308663224326,['purchase']
155,0.014056224899598393,"['life', 'sound', 'camera']"
446,0.013864983744501817,"['life', 'charge']"
315,0.01367374258940524,['build']
246,0.013482501434308663,"['battery', 'spee', 'quality']"
110,0.013482501434308663,"['battery', 'camera', 'quality']"
139,0.013386880856760375,"['battery', 'use']"
464,0.013386880856760375,"['sound', 'price']"
347,0.01310001912411551,"['battery', 'spee', 'camera']"
136,0.01310001912411551,['range']
178,0.01300439854656722,"['game', 'quality']"
19,0.012908777969018933,"['battery', 'camera', 'back']"
264,0.012813157391470644,['price']
340,0.012813157391470644,"['battery', 'speaker']"
163,0.012813157391470644,"['display', 'charge']"
289,0.012813157391470644,['thing']
318,0.012717536813922356,"['spee', 'picture', 'quality']"
321,0.012621916236374068,['service']
2,0.012526295658825778,"['phone', 'delivery']"
61,0.012526295658825778,"['phone', 'everythe']"
213,0.012526295658825778,['deal']
343,0.01243067508127749,"['phone', 'performance']"
392,0.012239433926180914,"['oneplu', 'camera']"
80,0.012143813348632626,"['time', 'quality']"
69,0.012143813348632626,"['life', 'phone', 'quality']"
28,0.012048192771084338,"['life', 'phone', 'camera']"
114,0.012048192771084338,"['battery', 'screen']"
204,0.011952572193536048,['android']
341,0.01185695161598776,"['life', 'day']"
151,0.01185695161598776,"['life', 'battery', 'spee']"
76,0.01185695161598776,['pubg']
235,0.011761331038439472,['market']
226,0.011761331038439472,"['usage', 'day']"
