,Noun,Support
0,'phone',0.356400804
1,'battery',0.166387399
2,'quality',0.160857909
3,'camera',0.128183646
4,'product',0.112935657
5,'life',0.097352547
6,'picture',0.0730563
7,'price',0.068867292
8,'performance',0.061494638
9,'mobile',0.060824397
10,'speed',0.04691689
11,'sound',0.044403485
12,'money',0.043398123
13,'everything',0.04155496
14,'features',0.033176944
15,'value',0.030663539
16,'display',0.030495979
17,'time',0.029825737
18,'device',0.028987936
19,'day',0.027647453
20,'awesome',0.025301609
21,'superb',0.024966488
22,'experience',0.023793566
23,'amazon',0.022285523
24,'range',0.021782842
25,'phones',0.021447721
26,'months',0.021280161
27,'problem',0.021112601
28,'issue',0.02060992
29,'screen',0.020442359
30,'excellent',0.020107239
31,'speaker',0.019604558
32,'oneplus',0.019436997
33,'thing',0.017928954
34,'flagship',0.017593834
35,'beast',0.016923592
36,'dash',0.016923592
37,'smartphone',0.016923592
38,'worth',0.016588472
39,'backup',0.016253351
40,'delivery',0.01575067
41,'super',0.01575067
42,'usage',0.01575067
43,'iphone',0.01541555
44,'issues',0.01541555
45,'use',0.014745308
46,'nothing',0.014242627
47,'charging',0.014075067
48,'charge',0.013907507
49,'mode',0.013739946
50,'month',0.013404826
51,'android',0.013237265
52,'charger',0.012734584
53,'pictures',0.012567024
54,'sale',0.012231903
55,'face',0.012064343
56,'thanks',0.012064343
57,'ram',0.011896783
58,'bit',0.011561662
59,'days',0.011394102
60,'market',0.011394102
61,'processor',0.011394102
62,'fast',0.011226542
63,'purchase',0.010723861
64,'update',0.01038874
65,'lot',0.010053619
66,'love',0.010053619
67,'premium',0.010053619
