,Noun,Support,
0,'phone',0.356400804,
1,'battery',0.166387399,
2,'quality',0.160857909,
3,'camera',0.128183646,
4,'product',0.112935657,
5,'life',0.097352547,
6,"'life', 'battery'",0.084785523,
7,'picture',0.0730563,
8,'price',0.068867292,
9,"'quality', 'picture'",0.065851206,
10,"'phone', 'battery'",0.063840483,
11,"'phone', 'camera'",0.06233244,
12,'performance',0.061494638,
13,'mobile',0.060824397,
14,"'phone', 'quality'",0.059483914,
15,"'quality', 'battery'",0.058813673,
16,"'camera', 'battery'",0.053284182,
17,"'quality', 'camera'",0.050603217,
18,'speed',0.04691689,
19,'sound',0.044403485,
20,'money',0.043398123,
21,'everything',0.04155496,
22,"'quality', 'life'",0.039711796,
23,"'phone', 'price'",0.038203753,
24,"'phone', 'life'",0.037198391,
25,"'picture', 'battery'",0.033847185,
26,'features',0.033176944,
27,'value',0.030663539,
28,'display',0.030495979,
29,'time',0.029825737,
30,'device',0.028987936,
31,"'life', 'camera'",0.028150134,
32,"'money', 'value'",0.027815013,
33,'day',0.027647453,
34,"'quality', 'sound'",0.026977212,
35,"'life', 'picture'",0.02580429,
36,'awesome',0.025301609,
37,"'phone', 'performance'",0.025301609,
38,'superb',0.024966488,
39,'experience',0.023793566,
40,"'phone', 'picture'",0.022453083,
41,'amazon',0.022285523,
42,"'performance', 'camera'",0.022285523,
43,"'sound', 'battery'",0.022117962,
44,'range',0.021782842,
45,'phones',0.021447721,
46,"'performance', 'battery'",0.021447721,
47,'months',0.021280161,
48,'problem',0.021112601,
49,'issue',0.02060992,
50,'screen',0.020442359,
51,'excellent',0.020107239,
52,'speaker',0.019604558,
53,'oneplus',0.019436997,
54,"'day', 'battery'",0.019436997,
55,"'price', 'camera'",0.019101877,
56,"'phone', 'everything'",0.018431635,
57,'thing',0.017928954,
58,"'phone', 'features'",0.017928954,
59,'flagship',0.017593834,
60,"'speed', 'camera'",0.017593834,
61,"'phone', 'sound'",0.017593834,
62,"'phone', 'speed'",0.017258713,
63,'beast',0.016923592,
64,'dash',0.016923592,
65,'smartphone',0.016923592,
66,"'quality', 'performance'",0.016756032,
67,'worth',0.016588472,
68,"'sound', 'picture'",0.016588472,
69,'backup',0.016253351,
70,"'phone', 'day'",0.016253351,
71,"'price', 'battery'",0.016085791,
72,"'display', 'camera'",0.016085791,
73,"'phone', 'time'",0.016085791,
74,"'quality', 'product'",0.016085791,
75,'delivery',0.01575067,
76,'super',0.01575067,
77,'usage',0.01575067,
78,'iphone',0.01541555,
79,'issues',0.01541555,
80,"'phone', 'money'",0.01541555,
81,"'backup', 'battery'",0.015247989,
82,"'phone', 'product'",0.014912869,
83,'use',0.014745308,
84,"'quality', 'price'",0.014745308,
85,"'display', 'battery'",0.014410188,
86,"'quality', 'speed'",0.014410188,
87,'nothing',0.014242627,
88,'charging',0.014075067,
89,"'sound', 'life'",0.014075067,
90,'charge',0.013907507,
91,"'sound', 'camera'",0.013907507,
92,"'phone', 'display'",0.013907507,
93,'mode',0.013739946,
94,"'price', 'range'",0.013739946,
95,"'phone', 'range'",0.013572386,
96,'month',0.013404826,
97,'android',0.013237265,
98,"'phone', 'months'",0.013069705,
99,"'speed', 'battery'",0.012902145,
100,'charger',0.012734584,
101,'pictures',0.012567024,
102,'sale',0.012231903,
103,'face',0.012064343,
104,'thanks',0.012064343,
105,"'phone', 'amazon'",0.012064343,
106,'ram',0.011896783,
107,"'time', 'battery'",0.011729223,
108,'bit',0.011561662,
109,"'usage', 'battery'",0.011561662,
110,'days',0.011394102,
111,'market',0.011394102,
112,'processor',0.011394102,
113,"'everything', 'battery'",0.011394102,
114,"'picture', 'camera'",0.011394102,
115,'fast',0.011226542,
116,"'day', 'camera'",0.011226542,
117,"'dash', 'battery'",0.011058981,
118,"'day', 'life'",0.011058981,
119,"'product', 'battery'",0.010891421,
120,"'screen', 'camera'",0.010891421,
121,"'device', 'phone'",0.010891421,
122,"'issue', 'phone'",0.010891421,
123,'purchase',0.010723861,
124,"'quality', 'day'",0.010723861,
125,"'performance', 'life'",0.010723861,
126,"'experience', 'phone'",0.0105563,
127,'update',0.01038874,
128,"'everything', 'camera'",0.01038874,
129,"'display', 'quality'",0.01038874,
130,"'phone', 'phones'",0.01038874,
131,"'phone', 'problem'",0.01022118,
132,"'phone', 'screen'",0.01022118,
133,"'phone', 'value'",0.01022118,
134,'lot',0.010053619,
135,'love',0.010053619,
136,'premium',0.010053619,
137,"'phone', 'speaker'",0.010053619,
