Review Text,Review Rating
Best phone ever,5
One of the best phone!,5
"one plus 6 is extremely worth for it's price and moreover in Amazon sale it's even beyond that. 35k for this phone is worth buying but in Amazon sale it costs me 27k. it's just mind blowing deal for me.
.
A fast device with perfect photo clicking quality. Definitely the best phone to buy",5
Good pictures,5
Six months later: no complaints. OnePlus does deploy customer centric design really well.,5
Superb,5
This is my honest review of one plus 6 and i am not even faking it please its your money i don't have to anything with it i just wanna let u know guys these devices performs best as compared to flagship phones but i am having a very bad experience after 3 months of usage.I use to play pubg on this phone but now i can see fadded icons of games like shooting button sertings button names health etc even if the game is closed i tried updating rebooting but the problems are still there and now i am planning to go to customer service of one plus.I will post the honest opinion after visiting to the customer service.,2
"One plus makes very premium quality phones we all are well aware of that. Compared to Samsung the prices are also much more sensible so but it without giving a second thought. Check video reviews on YT though, MKBHD and Unbox Therapy maybe.",5
This Is The Best Phone Ever. Smooth As Butter. After Using This Phone I Can't Use Any Other Phone.,5
bear,5
Advisable,5
i loved it,5
One plus is one of most valuable phone,5
It's just perfect,5
"Cons: Battery life & sound life.
Pros: performance & camera",4
Good,4
"I was just fed up with iphone but OnePlus really makes my life easy. Amazing Product, fast, smooth and best quality.",5
Best performance,5
Got 8gb 128gb for 31k. What else do you need for that price!,5
Overall nice product,4
Excellent smartphone. Good Speed.,5
You may have it when you needs high cost device.,5
No cons only pros it's a very good phone,5
Just ausome,5
Best product in good price,5
"Performance is good, but has some issues. The mobile Internet on the phone stops working and required a restart almost 3 times a day.
The people at the sales outlet at Seawoods Grand Central Mall are not even willing to talk to you. They ask you to go to the service centre. They say that they don't know technical stuff, only information for selling. They perhaps are worried about customers getting influenced by the visit of a customer who has run into problems. Instead of reassuring the customer, they keep repeating -  'Go to the Service Centre. We don't know anything.'. This is is so so sad.
The people at the service centre say that it required a factory reset as there is some OS Corruption. This is strange. Additionally, they do not even have an option to help you with your data backup.
The only good thing they had at the service centre was good coffee. The place is worth a visit only if you want some good coffee. Service is not their forte. Thank you.",4
This phone is very good;good sound quality;good features;oxygen Os is awesome;picture quality is excellent but it fades little bit in interiors;it does not hang at all very fast phone ; IAM being using it since 6 month and no issue recommend to take it,5
It’s overall a good product which is a value for the money spent,4
Very Good Deal,5
