,support,itemsets
47,0.39471301828716276,['phone']
5,0.18848451928299836,['amazon']
57,0.1734564548252761,['performance']
11,0.14213289878689117,['feature']
55,0.12330255296034763,['love']
34,0.10411008509867825,['camera']
49,0.09071156979902227,['value']
39,0.09034944776389643,['money']
66,0.08111533586818757,['processor']
52,0.07586456635886293,['lag']
46,0.06644939344559117,['device']
68,0.051240267970305994,['bite']
45,0.048343291689299295,['app']
41,0.046532681513670106,['game']
22,0.044903132355603836,['beast']
25,0.041644034039471305,['usage']
16,0.04055766793409379,['charge']
12,0.03802281368821293,['backup']
70,0.03784175267065001,['nothe']
32,0.036755386565272496,['plu']
42,0.036755386565272496,['photo']
21,0.034582654354517475,['sale']
20,0.033134166214014125,['look']
75,0.033134166214014125,['premium']
62,0.02933188484519283,['month']
67,0.029150823827629912,['dash']
0,0.028064457722252398,['picture']
53,0.025891725511497373,['video']
23,0.025891725511497373,['sound']
3,0.025710664493934457,['review']
15,0.024624298388556943,['headphone']
59,0.024081115335868188,['time']
71,0.023356871265616513,['range']
27,0.023356871265616513,['problem']
26,0.021365200072424408,['android']
6,0.020640956002172733,['quality']
31,0.020097772949483977,['experience']
74,0.018830345826543544,['service']
64,0.01828716277385479,['one']
72,0.01828716277385479,['ram']
4,0.017200796668477278,['user']
18,0.017019735650914358,['screen']
2,0.015933369545536848,['day']
44,0.015933369545536848,['battery']
43,0.01539018649284809,['charger']
40,0.015209125475285171,['heat']
50,0.014847003440159334,['delivery']
13,0.014484881405033496,['call']
73,0.014303820387470578,['design']
48,0.014303820387470578,['oneplu']
76,0.014122759369907659,['mode']
7,0.013398515299655984,['purchase']
36,0.013217454282093066,['life']
61,0.013217454282093066,['spee']
38,0.013036393264530146,['software']
69,0.012855332246967228,['thank']
58,0.012674271229404309,['hour']
60,0.012674271229404309,['product']
30,0.012674271229404309,['word']
24,0.012493210211841391,['con']
1,0.012312149194278471,['back']
54,0.012131088176715554,['use']
77,0.011950027159152634,['display']
29,0.011950027159152634,['issue']
8,0.011950027159152634,['update']
14,0.011768966141589716,['price']
35,0.011587905124026797,['budget']
10,0.011587905124026797,['deal']
78,0.011406844106463879,['brand']
51,0.011406844106463879,['flagship']
63,0.011225783088900959,['iphone']
33,0.011225783088900959,['market']
56,0.011044722071338041,['everyth']
65,0.010863661053775122,['face']
37,0.010863661053775122,['smartphone']
28,0.010682600036212204,['lot']
19,0.010501539018649284,['speaker']
9,0.010320478001086366,['year']
17,0.010139416983523447,['mobile']
