,support,itemsets
47,0.39471301828716276,"['quality', 'camera']"
5,0.18848451928299836,"['battery', 'back']"
57,0.1734564548252761,"['phone', 'problem']"
11,0.14213289878689117,"['battery', 'everyth']"
55,0.12330255296034763,['lag']
34,0.10411008509867825,['money']
94,0.09813507151910193,"['usage', 'day']"
49,0.09071156979902227,"['sound', 'life']"
39,0.09034944776389643,"['iphone', 'phone']"
66,0.08111533586818757,['usage']
183,0.07622668839398877,"['flagship', 'phone']"
52,0.07586456635886293,['premium']
99,0.07387289516567083,['charge']
124,0.07170016295491581,['backup']
103,0.06699257649827992,['plu']
172,0.06663045446315408,"['phone', 'speaker']"
46,0.06644939344559117,['sale']
85,0.05975013579576317,['headphone']
188,0.059388013760637334,"['battery', 'screen']"
127,0.056309976462067715,"['value', 'money']"
68,0.051240267970305994,"['sound', 'battery']"
45,0.048343291689299295,['battery']
41,0.046532681513670106,"['phone', 'game']"
100,0.045084193373166756,['charger']
22,0.044903132355603836,"['battery', 'day']"
105,0.043635705232663406,['heat']
169,0.04327358319753757,['oneplu']
157,0.042187217092160056,['purchase']
25,0.041644034039471305,"['phone', 'issue']"
155,0.041281912004345465,"['battery', 'charge']"
16,0.04055766793409379,"['quality', 'battery']"
12,0.03802281368821293,['thank']
70,0.03784175267065001,"['mobile', 'battery']"
42,0.036755386565272496,"['quality', 'performance']"
32,0.036755386565272496,"['quality', 'feature']"
184,0.035850081477457905,"['performance', 'camera']"
21,0.034582654354517475,"['feature', 'camera']"
75,0.033134166214014125,"['month', 'camera']"
20,0.033134166214014125,"['phone', 'amazon']"
168,0.03240992214376245,"['display', 'battery']"
119,0.031504617055947856,['con']
175,0.031323556038384937,['budget']
156,0.03078037298569618,"['phone', 'life']"
162,0.029512945862755748,['flagship']
62,0.02933188484519283,['iphone']
67,0.029150823827629912,['video']
166,0.028245518739815317,"['battery', 'product']"
0,0.028064457722252398,"['phone', 'charge']"
158,0.02788339670468948,['face']
53,0.025891725511497373,"['battery', 'issue']"
23,0.025891725511497373,['mobile']
3,0.025710664493934457,"['spee', 'camera']"
164,0.025167481441245698,['phone']
86,0.024986420423682782,"['price', 'range']"
88,0.024624298388556943,"['sound', 'phone']"
15,0.024624298388556943,"['time', 'phone']"
123,0.024443237370994023,"['day', 'camera']"
98,0.024443237370994023,['camera']
140,0.024081115335868188,['value']
59,0.024081115335868188,"['speaker', 'quality']"
148,0.023537932283179432,"['phone', 'screen']"
71,0.023356871265616513,['nothe']
27,0.023356871265616513,['look']
129,0.022994749230490677,"['time', 'battery']"
163,0.021908383125113163,['month']
26,0.021365200072424408,['range']
178,0.021184139054861488,"['phone', 'product']"
126,0.02100307803729857,['experience']
6,0.020640956002172733,"['life', 'battery']"
136,0.020640956002172733,"['display', 'camera']"
131,0.020278833967046894,"['life', 'performance']"
31,0.020097772949483977,['screen']
146,0.019916711931921058,"['phone', 'back']"
177,0.019916711931921058,"['camera', 'everyth']"
115,0.01955458989679522,['mode']
125,0.019373528879232303,"['display', 'phone']"
153,0.019011406844106463,"['sound', 'speaker']"
111,0.019011406844106463,"['mobile', 'camera']"
74,0.018830345826543544,['spee']
72,0.01828716277385479,['software']
64,0.01828716277385479,['hour']
167,0.01810610175629187,"['charge', 'camera']"
101,0.017925040738728953,"['life', 'charge']"
171,0.017381857686040194,"['mobile', 'phone']"
4,0.017200796668477278,"['phone', 'quality']"
87,0.017200796668477278,"['mobile', 'quality']"
18,0.017019735650914358,"['phone', 'user']"
89,0.01683867463335144,"['device', 'camera']"
187,0.01665761361578852,"['phone', 'day']"
159,0.016476552598225603,"['game', 'battery']"
173,0.016476552598225603,"['life', 'day']"
113,0.016295491580662683,['use']
144,0.016114430563099764,"['phone', 'money']"
84,0.016114430563099764,['update']
128,0.015933369545536848,"['device', 'phone']"
161,0.015933369545536848,"['spee', 'phone']"
44,0.015933369545536848,"['battery', 'picture']"
185,0.015933369545536848,['smartphone']
2,0.015933369545536848,"['time', 'camera']"
43,0.01539018649284809,"['life', 'picture']"
40,0.015209125475285171,['amazon']
141,0.015209125475285171,"['speaker', 'battery']"
134,0.015028064457722253,['performance']
79,0.015028064457722253,['feature']
190,0.015028064457722253,"['quality', 'oneplu']"
186,0.015028064457722253,"['phone', 'price']"
108,0.015028064457722253,['bite']
151,0.014847003440159334,['app']
50,0.014847003440159334,"['back', 'camera']"
174,0.014847003440159334,['game']
176,0.014484881405033496,"['phone', 'everyth']"
13,0.014484881405033496,"['quality', 'price']"
137,0.014484881405033496,"['phone', 'oneplu']"
107,0.014303820387470578,['photo']
48,0.014303820387470578,"['price', 'camera']"
73,0.014303820387470578,['dash']
95,0.014303820387470578,['picture']
76,0.014122759369907659,"['phone', 'camera']"
138,0.01394169835234474,"['phone', 'value']"
110,0.013760637334781821,['ram']
112,0.013760637334781821,['user']
83,0.013760637334781821,"['camera', 'update']"
122,0.013760637334781821,"['quality', 'charge']"
92,0.013579576317218903,['day']
106,0.013579576317218903,"['phone', 'usage']"
7,0.013398515299655984,"['battery', 'month']"
104,0.013398515299655984,['delivery']
93,0.013398515299655984,"['life', 'quality']"
36,0.013217454282093066,"['battery', 'performance']"
179,0.013217454282093066,"['battery', 'feature']"
132,0.013217454282093066,['call']
135,0.013217454282093066,"['speaker', 'camera']"
61,0.013217454282093066,['life']
139,0.013036393264530146,"['quality', 'day']"
38,0.013036393264530146,"['battery', 'dash']"
143,0.013036393264530146,"['sound', 'camera']"
170,0.013036393264530146,['back']
189,0.013036393264530146,"['quality', 'picture']"
147,0.012855332246967228,"['game', 'camera']"
160,0.012855332246967228,['display']
69,0.012855332246967228,['issue']
120,0.012855332246967228,['price']
97,0.012855332246967228,"['screen', 'camera']"
60,0.012674271229404309,['deal']
58,0.012674271229404309,['brand']
91,0.012674271229404309,"['dash', 'camera']"
30,0.012674271229404309,['market']
109,0.012674271229404309,['android']
24,0.012493210211841391,['everyth']
1,0.012312149194278471,"['phone', 'app']"
117,0.012312149194278471,['lot']
145,0.012312149194278471,"['phone', 'month']"
152,0.012131088176715554,"['quality', 'product']"
54,0.012131088176715554,['love']
102,0.012131088176715554,['processor']
29,0.011950027159152634,"['battery', 'update']"
191,0.011950027159152634,['device']
150,0.011950027159152634,"['phone', 'update']"
77,0.011950027159152634,"['life', 'camera']"
8,0.011950027159152634,['beast']
14,0.011768966141589716,['service']
116,0.011768966141589716,"['battery', 'oneplu']"
90,0.011768966141589716,['review']
181,0.011587905124026797,['sound']
96,0.011587905124026797,"['price', 'battery']"
10,0.011587905124026797,['time']
35,0.011587905124026797,"['time', 'quality']"
118,0.011587905124026797,"['sound', 'quality']"
81,0.011406844106463879,['problem']
51,0.011406844106463879,['quality']
154,0.011406844106463879,['one']
78,0.011406844106463879,['design']
63,0.011225783088900959,"['spee', 'quality']"
33,0.011225783088900959,"['charge', 'dash']"
56,0.011044722071338041,"['phone', 'dash']"
165,0.011044722071338041,"['phone', 'picture']"
133,0.011044722071338041,"['spee', 'battery']"
37,0.010863661053775122,"['phone', 'range']"
65,0.010863661053775122,['product']
130,0.010863661053775122,"['experience', 'phone']"
114,0.010682600036212204,"['picture', 'camera']"
28,0.010682600036212204,"['phone', 'performance']"
182,0.010682600036212204,"['phone', 'feature']"
19,0.010501539018649284,"['battery', 'backup']"
192,0.010501539018649284,"['phone', 'battery']"
121,0.010501539018649284,"['usage', 'battery']"
82,0.010320478001086366,['word']
180,0.010320478001086366,"['display', 'quality']"
9,0.010320478001086366,"['battery', 'camera']"
80,0.010320478001086366,['year']
142,0.010139416983523447,"['sound', 'picture']"
17,0.010139416983523447,"['oneplu', 'camera']"
149,0.010139416983523447,['speaker']
