,Review_text,Nouns
8640,I like so much .....,
8803,It's very nice,
8998,Don't check the reviews just go for it,review
9959,Flagship Phone is here... Superb...,"flagship,phone"
7667,Excellent purchase.,purchase
4372,"Camera
Sound
Battery
Speed
And descent body
That's what one plus 6 is all about..
It's super classy... Nothing can beat this. Price is high... But It's worth ♥️","price,spee,descent,sound,battery,camera,nothe,body"
4291,"Best picture quality and sound quality with the android pie update it works like charm, OnePlus comes up with the best everytime but the only concern was the battery life it should have been bit better but dash charging makes up for it.","everytime,concern,oneplu,life,pie,charm,sound,quality,battery,update,picture,charge"
2677,Hang too much.. Not worth expectation.. Could not feel like having 8gb Ram phone... One plus team pls do something for software and battery,"expectation,team,phone,somethe,battery,software"
2297,Great,
7518,"It is a beast. And I got this at 27k + added benefits and bonuses in the Great Indian Sale. Thankn you, Amazon, for that and for impeccable delivery of the product.
Now coming to the phone,
Camera is incredible. Great details and colours are brought out. It's crisp and at the same time not very sharp.
Notch : Seriously, I don't get why it should be a concern. I have hardly noticed it all the while. Plus, you can hide it if you want to. I have been using it without hiding.
Fingerprint : Placed at a slightly uncomfortable position. But it's ultra fast. Face unlock is also very rapid.
Speakers perform the job that they were assigned with. Got no problems, and no specialities.
Led notification is awesome. You can customize it's color.
Gesture based actions is very useful, like for pausing a song, or to open flashlight.
Overall, the phone is just pure awesome. It's nothing less than a majestic beast.","sale,color,specialitie,job,face,colour,gesture,speaker,notch,delivery,bonu,problem,flashlight,benefit,time,beast,nothe,product,detail,fingerprint,position,unlock,song,camera,action,concern,while,phone,notification"
8725,Very nice phone is brst on price,"phone,price"
6968,"Great camera, awesome battery performance and excellent phone, overall","phone,battery,performance,camera"
1316,Superb product.value for money,money
5633,This phone picture quality is very good. Battery life is not very good but it's good. Sound quality is poor.,"phone,life,sound,quality,battery,picture"
3160,"I have been using this phone for over a month now.
Overall rating: 8/10
Camera: 7/10 Very good (in good lighting condition), bokeh is also Ok but not the best. But given the price, it is one of the best.
Average (in low light). You will find graininess in the pictures.
Processor/Ram: 10/10 The phone is exceptionally fast. No lag at all. Some apps may get stuck occasionally but after some updates issue resolved.
Heating: I have played pubg, recorded videos, no heating issues so far.
Build quality: 9/10 build quality is good, gives a premium feel.
Dash charge: 10/10 That's one of the highlights, it gets charged very quickly with the USB C type l
Port. But it will charge quickly only through the adapter and cable supplied along with phone.
Face unlock/ fingerprint: 9/10 Almost perfect
Sound: 8/10 It has a decent sound output, with single speaker at the bottom, although not the best.
Cons:
Phone battery has started draining quite frequently after a recent update. It need to be resolved in further update.
Low light camera is just average. Newly introduced nightscape mode has  made some improvements but still it can be better. Also have to focus well and stay still to get a clear shot. Some times it takes tine to focus as well.
Overall It is a good choice in this price range. But If you already own one plus 5T, I don't think it is good to buy this.
 If you are looking for performance with a decent camera with dash charging, go for it without any doubt.","video,ram,pubg,doubt,premium,battery,usb,choice,speaker,improvement,picture,tine,price,bottom,heat,issue,cable,grainine,quality,update,port,time,condition,build,highlight,con,processor,month,fingerprint,rat,nightscape,performance,feel,sound,bokeh,camera,lag,adapter,type,mode,shoot,phone,dash,light,output,range,app,charge"
6060,Awesome phone,phone
765,Super Cool Smart phone & Worth buying.,"phone,buy"
8261,I'm an iPhone person. This is the first time that android made me free nice. This is an amazing phone,"person,time,phone,android"
8072,"Overall the build of phone is superb with AMOLED display ,and the phone is fast beyond your imagination .and the best device for game lovers.","lover,device,build,phone,imagination,display,game"
2261,"Happy about the purchase ! As a one plus fan over a time and been used already one plus 3 for years , same reputation and same build quality only thing I hate it To versions releasing very soon makes me look like a fool now , why one plus ? At least a heads-up would have made me waited for The version","head,reputation,version,purchase,fool,year,fan,quality,time,build"
3020,Good Product,product
6326,An awesome phone just that the quality of sound is not good.,"sound,quality,phone"
7808,Wow ❤️❤️ I have been using iPhone 7 plus and decided to switch to OnePlus 6 and I must admit that this is the fastest Android phone j have ever used ... Picture Quality is brilliant and will update more soon,"plu,oneplu,phone,iphone,quality,picture"
8563,"It is recommended by my brothers..to buy one plus 6 only....so I thought let's try....and I ordered it....it's really a good one regarding to picture quality....speed...and memory....I loved it....
About delivery:
Committed to delivered on that day and completed.. thanks Amazon for that....always preferable for online shopping....","delivery,thank,day,spee,shop,memory,quality,brother,picture,one"
1783,Excellent product,product
1953,I bought the phone in Oct 1st week. After a month head phone jack stopped working. Also there are a lot of software bugs in the phone. Some times phone hangs and apps are becoming unresponsive. Now I have to invest my resources in repairing this. Waste of effort,"oct,lot,head,month,week,phone,software,jack,waste,effort,resource,time,app,hang,bug"
6596,I didn’t got earphones,earphone
4050,Love the phone. Another amazing product by One Plus.. super happy.. appreciate vthe quick delivery by Amazon,"phone,delivery,product,amazon"
61,Best techno gadget,"gadget,techno"
7841,Good buy,buy
6214,Over a good phone. But in sale it reduced 5000/- it hurts. ..,"phone,sale"
2659,"Got with exchange offer. Absolutely VFM at 28k with exchange offer.
Same as OnePlus 6 but includes headphone jack and  fast fingerprint scanner.
Why pay more for less (OnePlus 6t).
Thank you Amazon for this Amazing offer.
Nothing much to talk about the phone. It's excellent in every way","headphone,oneplu,exchange,fingerprint,phone,offer,vfm,way,jack,nothe,scanner"
